sqft,bathrooms,price,address,postingDate,numImages,longitude,latitude,bedrooms,title
734,1,2910,1333 Powell Street,1456732800,5,-122.288958,37.839352,1,Spacious 1 Bedroom w/ Custom Finishes & Washer/Dryer in Unit
,,2345,101 Fairmount Ave,1456819200,13,-122.260451,37.816073,2,Sunny hardwood floor 2-bed near Wholefoods and Lake
,,1600,345 south 27th St.,1456819200,6,-122.343781,37.927395,2,"Hardwood Flooring,Washer Dryer Hookup,Remodel Kitchen & Bath,Parkings"
,,1555,,1457251200,0,-122.257,37.8664,1,FURNISHED 1 bedroom HOUSE near Berkeley University
,,3700,Rose St. at Henry St.,1457337600,6,-122.27118,37.881725,3,"Bright, spacious Apt. in top N. Berkeley location, 2 full baths"
950,1,3000,Park Street,1456992000,19,-122.1884,37.7878,2,Adorable 2/1 house across from a park in Berkeley with a W/D and yard!
700,2,2600,2535 Ellsworth St.,1457078400,13,-122.263264,37.863668,2,FOR IMMEDIATE OCCUPANCY Unique floorplan close to U.C. Berkeley
900,,3000,1615 Arch St,1456819200,12,-122.2655,37.8784,2,Beautiful North Berkeley house 2BD/1BA
1152,2,2934,2020 Fourth St,1457337600,8,-122.300187,37.867284,2,2 Bedroom Home For A Special Price!
646,1,3426,,1457596800,5,,,2,SO Close to Campus!!
452,1,2619,,1456732800,4,-122.267676,37.865046,1,A Spacious Apartment that's Perfect for Entertaining!
1412,3,3600,995 MacArthur Boulevard,1456732800,16,-122.276695,37.828045,3,A HOUSE for RENT built in 2006 w/ 3 Bd & 3 Ba in Emeryville near BART
1170,2,3250,535 Pierce ST,1456819200,9,-122.30702,37.89322,2,2BD-2BA/ Albany Condo@/Bayside Commons/Near Bart&UCB/Pool/Gym/Luxury
500,1,1750,san pablo at hearst,1456732800,11,-122.29288,37.870326,0,"Bright, Quiet, Spacious Studio, Bustling University & San Pablo"
750,1,2000,2229 mcgee ave.,1457078400,8,-122.275493,37.865093,1,Contemporary One Bedroom Central Berkeley Available Now!
1000,1,2995,,1456992000,14,-122.1728,37.8787,2,"Fabulous Orinda Top Floor Flat Walk to BART SF, UC Berkeley"
1500,1,2975,Alvarado Drive at Gravatt,1457078400,7,-122.238379,37.859926,1,Beautiful Berkeley Hills Retreat
1825,2,3800,,1456819200,7,-122.2604,37.8918,3,"3 BDRM House in Berkeley Hills $3,800"
,,3800,Derby St at Acton St,1457078400,12,-122.283497,37.858388,2,Charming family home for rent in great Berkeley neighborhood
1100,2,3500,Emerson at Wheeler,1456905600,8,-122.26498,37.854826,2,Beautiful Berkeley House for Summer 2016
