,address,avg0,avg1,avg2,avg3,avg4plus,bathrooms,bedrooms,description,latitude,longitude,price,sqft,title,price per room
0,2171 Allston Way,1126.0,0.0,0.0,0.0,0,0.0,0.0,0,37.8698901,-122.2661499,0.0,0.0,0,1126
1,1907 Center St,1373.0,0.0,0.0,0.0,0,0.0,0.0,0,37.870027,-122.272269,0.0,0.0,0,1373
2,1912 Addison St,0.0,1025.0,0.0,0.0,0,0.0,0.0,0,37.870407,-122.272144,0.0,0.0,0,1025
3,1915 Addison St,1394.0,0.0,0.0,0.0,0,0.0,0.0,0,37.8709429,-122.272223,0.0,0.0,0,1394
4,2109 Shattuck Ave,1355.0,1638.0,1995.0,0.0,0,0.0,0.0,0,37.871025,-122.26735,0.0,0.0,0,1662
5,2112 Addison St,1276.0,1410.0,0.0,0.0,0,0.0,0.0,0,37.871103,-122.267061,0.0,0.0,0,1343
6,1904 University Ave,0.0,1696.0,2200.0,0.0,0,0.0,0.0,0,37.8714542,-122.2727461,0.0,0.0,0,1948
7,2018 University Ave,1576.0,0.0,0.0,0.0,0,0.0,0.0,0,37.871602,-122.269959,0.0,0.0,0,1576
8,2008 Shattuck Ave,930.0,1150.0,0.0,0.0,0,0.0,0.0,0,37.8717535,-122.268745,0.0,0.0,0,1040
9,2070 University Ave,1285.0,1446.0,0.0,0.0,0,0.0,0.0,0,37.8718962,-122.2690795,0.0,0.0,0,1365
10,1949 Milvia St,0.0,1624.0,0.0,0.0,0,0.0,0.0,0,37.8721922,-122.2704346,0.0,0.0,0,1624
11,1945 Milvia St,0.0,0.0,2022.0,0.0,0,0.0,0.0,0,37.872494,-122.270448,0.0,0.0,0,2022
12,2008 Berkeley Way,0.0,1083.0,0.0,0.0,0,0.0,0.0,0,37.872526,-122.270209,0.0,0.0,0,1083
13,2057 University Ave,0.0,980.0,0.0,0.0,0,0.0,0.0,0,37.87233,-122.269313,0.0,0.0,0,980
14,1945 Berkeley Way,0.0,1545.0,2052.0,0.0,0,0.0,0.0,0,37.872759,-122.2712008,0.0,0.0,0,1798
15,1913 Berkeley Way,0.0,2150.0,3400.0,0.0,0,0.0,0.0,0,37.872752,-122.272491,0.0,0.0,0,2775
16,1912 Milvia St,0.0,1545.0,2052.0,0.0,0,0.0,0.0,0,37.872898,-122.27128,0.0,0.0,0,1798
17,2017 Berkeley Way,0.0,0.0,2234.0,0.0,0,0.0,0.0,0,37.87307,-122.269961,0.0,0.0,0,2234
18,1836 Hearst Ave,0.0,0.0,1950.0,0.0,0,0.0,0.0,0,37.872981,-122.273698,0.0,0.0,0,1950
19,2005 Berkeley Way,0.0,1619.0,1878.0,0.0,0,0.0,0.0,0,37.873009,-122.270428,0.0,0.0,0,1748
20,1906 Bonita Ave,0.0,2487.0,0.0,0.0,0,0.0,0.0,0,37.873136,-122.272385,0.0,0.0,0,2487
21,1937 Haste St,0.0,878.0,0.0,0.0,0,0.0,0.0,0,37.864748,-122.270495,0.0,0.0,0,878
22,2223 Dwight Way,1400.0,1895.0,0.0,0.0,0,0.0,0.0,0,37.864665,-122.264084,0.0,0.0,0,1647
23,2247 Dwight Way,0.0,1600.0,0.0,0.0,0,0.0,0.0,0,37.864723,-122.263226,0.0,0.0,0,1600
24,2420 Milvia St,0.0,2275.0,0.0,0.0,0,0.0,0.0,0,37.8647325,-122.2701111,0.0,0.0,0,2275
25,2001 Haste St,0.0,1700.0,0.0,0.0,0,0.0,0.0,0,37.8647909,-122.269723,0.0,0.0,0,1700
26,2007 Haste St,0.0,1606.0,2245.0,0.0,0,0.0,0.0,0,37.864877,-122.269582,0.0,0.0,0,1925
27,2011 Haste St,1416.0,1983.0,2108.0,0.0,0,0.0,0.0,0,37.864894,-122.269436,0.0,0.0,0,1835
28,2021 Haste St,1695.0,1695.0,0.0,0.0,0,0.0,0.0,0,37.864939,-122.269081,0.0,0.0,0,1695
29,2033 Haste St,0.0,1580.0,2302.0,0.0,0,0.0,0.0,0,37.864997,-122.268665,0.0,0.0,0,1941
30,2425 Fulton St,1332.0,0.0,0.0,0.0,0,0.0,0.0,0,37.8649275,-122.2653096,0.0,0.0,0,1332
31,2231 Dwight Way,0.0,0.0,0.0,4359.0,0,0.0,0.0,0,37.864706,-122.263743,0.0,0.0,0,4359
32,2491 Ellsworth St,1701.0,2262.0,0.0,0.0,0,0.0,0.0,0,37.864789,-122.262771,0.0,0.0,0,1981
33,2321 Dwight Way,1514.0,1700.0,2309.0,0.0,0,0.0,0.0,0,37.864927,-122.262055,0.0,0.0,0,1841
34,2329 Dwight Way,0.0,0.0,3500.0,0.0,0,0.0,0.0,0,37.864954,-122.261846,0.0,0.0,0,3500
35,2333 Dwight Way,0.0,1395.0,0.0,0.0,0,0.0,0.0,0,37.864973,-122.26171,0.0,0.0,0,1395
36,1914 Channing Way,1648.0,2000.0,0.0,0.0,0,0.0,0.0,0,37.865003,-122.271416,0.0,0.0,0,1824
37,1918 Channing Way,0.0,0.0,2108.0,0.0,0,0.0,0.0,0,37.865028,-122.271242,0.0,0.0,0,2108
38,1938 Channing Way,0.0,0.0,0.0,3278.0,0,0.0,0.0,0,37.865116,-122.270543,0.0,0.0,0,3278
39,2015 Haste St,0.0,1901.0,2528.0,4950.0,0,0.0,0.0,0,37.864918,-122.269264,0.0,0.0,0,3126
40,2206 Haste St,1332.0,0.0,0.0,0.0,0,0.0,0.0,0,37.8649739,-122.265099,0.0,0.0,0,1332
41,2210 Haste St,0.0,831.0,0.0,0.0,0,0.0,0.0,0,37.865007,-122.264844,0.0,0.0,0,831
42,2214 Haste St,1289.0,1545.0,0.0,0.0,0,0.0,0.0,0,37.864969,-122.264678,0.0,0.0,0,1417
43,2218 Haste St,1537.0,0.0,0.0,0.0,0,0.0,0.0,0,37.864991,-122.264506,0.0,0.0,0,1537
44,2222 Haste St,0.0,2200.0,0.0,0.0,0,0.0,0.0,0,37.86501,-122.264341,0.0,0.0,0,2200
45,2230 Haste St,0.0,1644.0,2567.0,0.0,0,0.0,0.0,0,37.865041,-122.264094,0.0,0.0,0,2105
46,2232 Haste St,1836.0,0.0,2158.0,3895.0,0,0.0,0.0,0,37.865074,-122.263839,0.0,0.0,0,2629
47,2431 Ellsworth St,0.0,1605.0,2630.0,4095.0,0,0.0,0.0,0,37.865077,-122.262741,0.0,0.0,0,2776
48,2315 Dwight Way,528.0,0.0,0.0,0.0,0,0.0,0.0,0,37.865081,-122.262354,0.0,0.0,0,528
49,2335 Dwight Way,0.0,1800.0,1821.0,0.0,0,0.0,0.0,0,37.864999,-122.261515,0.0,0.0,0,1810
50,2446 Dana St,0.0,0.0,2750.0,0.0,0,0.0,0.0,0,37.86496,-122.261005,0.0,0.0,0,2750
51,1930 Channing Way,1470.0,1895.0,2289.0,2820.0,0,0.0,0.0,0,37.8652098,-122.2708181,0.0,0.0,0,2118
52,1942 Channing Way,1314.0,2253.0,1877.0,0.0,0,0.0,0.0,0,37.8651709,-122.270166,0.0,0.0,0,1814
53,2010 Channing Way,0.0,1599.0,0.0,4600.0,0,0.0,0.0,0,37.865256,-122.269506,0.0,0.0,0,3099
54,2012 Channing Way,1066.0,0.0,0.0,0.0,0,0.0,0.0,0,37.865281,-122.269334,0.0,0.0,0,1066
55,2429 Shattuck Ave,1439.0,1523.0,0.0,0.0,0,0.0,0.0,0,37.8652412,-122.2670858,0.0,0.0,0,1481
56,2115 Haste St,0.0,1423.0,0.0,0.0,0,0.0,0.0,0,37.865245,-122.266719,0.0,0.0,0,1423
57,2117 Haste St,0.0,2332.0,2729.0,3745.0,0,0.0,0.0,0,37.865283,-122.266364,0.0,0.0,0,2935
58,2135 Haste St,0.0,0.0,2795.0,0.0,0,0.0,0.0,0,37.865194,-122.265743,0.0,0.0,0,2795
59,2428 Ellsworth St,0.0,1833.0,2850.0,0.0,0,0.0,0.0,0,37.865156,-122.26349,0.0,0.0,0,2341
60,2316 Haste St,528.0,0.0,0.0,0.0,0,0.0,0.0,0,37.8652033,-122.2623413,0.0,0.0,0,528
61,2320 Haste St,1543.0,2065.0,2200.0,0.0,0,0.0,0.0,0,37.865287,-122.262173,0.0,0.0,0,1936
62,2322 Haste St,1644.0,1900.0,0.0,0.0,0,0.0,0.0,0,37.865312,-122.261974,0.0,0.0,0,1772
63,2330 Haste St,0.0,1581.0,2286.0,0.0,0,0.0,0.0,0,37.865345,-122.261738,0.0,0.0,0,1933
64,1936 Channing Way,0.0,0.0,0.0,3278.0,0,0.0,0.0,0,37.8653179,-122.2705484,0.0,0.0,0,3278
65,2133 Haste St,0.0,0.0,2795.0,0.0,0,0.0,0.0,0,37.8652713,-122.2659247,0.0,0.0,0,2795
66,2416 Fulton St,0.0,1751.0,0.0,0.0,0,0.0,0.0,0,37.865369,-122.26577,0.0,0.0,0,1751
67,2420 Fulton St,0.0,0.0,2795.0,0.0,0,0.0,0.0,0,37.8653076,-122.2656117,0.0,0.0,0,2795
68,2015 Channing Way,0.0,0.0,2995.0,0.0,0,0.0,0.0,0,37.865797,-122.269434,0.0,0.0,0,2995
69,2019 Channing Way,0.0,1726.0,0.0,0.0,0,0.0,0.0,0,37.865822,-122.269257,0.0,0.0,0,1726
70,2020 Channing Way,854.0,0.0,0.0,3035.0,0,0.0,0.0,0,37.8655818,-122.2686892,0.0,0.0,0,1944
71,2118 Channing Way,0.0,0.0,2483.0,2800.0,0,0.0,0.0,0,37.865656,-122.266438,0.0,0.0,0,2641
72,2404 Fulton St,0.0,2374.0,2653.0,3795.0,0,0.0,0.0,0,37.865523,-122.265893,0.0,0.0,0,2940
73,2412 Atherton St,0.0,975.0,0.0,0.0,0,0.0,0.0,0,37.865662,-122.264757,0.0,0.0,0,975
74,2237 Haste St,914.0,0.0,1979.0,0.0,0,0.0,0.0,0,37.8655514,-122.2636313,0.0,0.0,0,1446
75,2301 Haste St,0.0,1832.0,0.0,0.0,0,0.0,0.0,0,37.865703,-122.263031,0.0,0.0,0,1832
76,2309 Haste St,1595.0,1644.0,1720.0,0.0,0,0.0,0.0,0,37.865678,-122.262824,0.0,0.0,0,1653
77,2325 McKinley Ave,0.0,2350.0,2797.0,0.0,0,0.0,0.0,0,37.865889,-122.273208,0.0,0.0,0,2573
78,2021 Channing Way,0.0,2000.0,1595.0,0.0,0,0.0,0.0,0,37.865842,-122.269098,0.0,0.0,0,1797
79,2023 Channing Way,0.0,0.0,2563.0,0.0,0,0.0,0.0,0,37.86586,-122.268975,0.0,0.0,0,2563
80,2035 Channing Way,1442.0,0.0,2436.0,3095.0,0,0.0,0.0,0,37.865967,-122.268341,0.0,0.0,0,2324
81,2150 Channing Way,0.0,1536.0,2051.0,3215.0,0,0.0,0.0,0,37.865778,-122.265872,0.0,0.0,0,2267
82,2405 Fulton St,0.0,1680.0,2348.0,2750.0,0,0.0,0.0,0,37.86569,-122.26548,0.0,0.0,0,2259
83,2412 Ellsworth St,1334.0,1926.0,2995.0,0.0,0,0.0,0.0,0,37.865785,-122.263617,0.0,0.0,0,2085
84,2423 Haste St,711.0,620.0,0.0,0.0,0,0.0,0.0,0,37.8660369,-122.2598603,0.0,0.0,0,665
85,2000 Durant Ave,1317.0,1596.0,1979.0,0.0,0,0.0,0.0,0,37.8660375,-122.2698541,0.0,0.0,0,1630
86,2129 Channing Way,1218.0,2639.0,0.0,0.0,0,0.0,0.0,0,37.866127,-122.266113,0.0,0.0,0,1928
87,2236 Channing Way,0.0,1939.0,3045.0,2944.0,0,0.0,0.0,0,37.866031,-122.263707,0.0,0.0,0,2642
88,2125 Channing Way,0.0,1748.0,0.0,0.0,0,0.0,0.0,0,37.866163,-122.266273,0.0,0.0,0,1748
89,2332 Fulton St,827.0,0.0,0.0,0.0,0,0.0,0.0,0,37.866268,-122.265999,0.0,0.0,0,827
90,2345 Fulton St,0.0,1885.0,0.0,0.0,0,0.0,0.0,0,37.866325,-122.26539,0.0,0.0,0,1885
91,2211 Channing Way,0.0,2488.0,0.0,0.0,0,0.0,0.0,0,37.86636,-122.265134,0.0,0.0,0,2488
