,address,bathrooms,bedrooms,description,latitude,longitude,sqft,title,price per room
0,0 0,1,1,"
Hi everyone,
Have a One Bedroom One bathroom condo for rental in Warm Springs Fremont location.
This 680 sf condo is located on 2nd floor (top floor) and is an end unit. Has its own patio that I normally open the door to enjoy the nice breeze from near by tree.
*Very quiet and lots of privacy, both in bedroom and living room.
*Bright with natural light, Spacious, wood floor in living room, carpeted bedroom, marble floor bathroom, vaulted ceiling.
*laundry washer dryer in unit.
*2 min drive to literally everything; Safeway, Marina and Ranch99 supermarket, jamba juice, starbucks, Ross, BOA WellsFargo, Chase, HSBC, UPS, Fedex, post office, and all the restaurants in warm springs Fremont.
*2min drive to get to 880, 680, 5 min to milpitas and 237.
*2min walk to park, tennis, basketball court, running trail.
*2 dedicated parking spots in addition to a garage for storage.
*Best school district for elementary,middle and high school.
*Bart station will open soon that's located in warm springs, getting to the City and Berkeley will be convenient.
Looking for decent and quiet full time professional/students free of drugs, smoke and drama. No pets.
Available April 1st.
2000/month rent 
Leasing period depends on tenant's situation
short term (3-6 months) or long term lease (one year).
Deposit is one month rent.
Interested party pls email or text Kim and provide a description about yourself.
Open house time will be arranged separately.
Thanks for the time.
",37.486931,-121.92775,680,Nice One bedroom One bathroom Condo in Warm Springs Fremont,2000
1,4141 Stevenson Blvd,1,1,"
Stevenson Place
| http://www.livestevensonplace.com/ 
4141 Stevenson Boulevard Fremont, California 94538 
Come check out some good living... 
Head over to Stevenson Place and let us help you find your new home!
Just ask about our beautiful Birch Suite. Fantastic location. This bright & spacious home has so much to offer. You will love the fresh designer paint, plush carpet and an extra large closet for your new wardrobe! 
It's now renting for the rate of $1,913/12 month - With an February 29th move in. Ask us about apartment home #285 today!
Stop in today and lease your new home!
*All prices are subject to change. Pricing is subject to change based on lease terms & move in dates*
Lease by phone 24/7 at:
One of our friendly leasing agents is waiting to make YOUR day! 
Welcome Home to Stevenson Place - where you will be able to escape the hustle and bustle of your day! Stevenson Place is located in the heart of Fremont where we are minutes away from Lake Elizabeth, a great place to gather some friends for a BBQ or game of kickball! At Lake Elizabeth you will find many softball games being played, people renting paddle boats and dogs taking theirs owners for a walk.
Stevenson Place is convenient for all commutes. Hop on BART and check out Berkeley or site see in San Francisco. You will find that both Freeway's 680 and 880 are only two minutes away!
Equal Housing Opportunity 
",37.539286,-121.974354,620,2nd Floor 1Bed/1Bath WILL GO FAST,1913
2,4555 Thornton Ave.,0,1,"
Â Plan B Â— 1 Â bed / 1 bath / From $2,130  Situated in a tranquil, park-like setting, Countrywood Apartment Homes offers you the relaxation you crave and the variety of choices you deserve.Choose from 4 spacious one and two bedroom floorplans complete with private patios, generous closet space, and beautifully appointed kitchens. Feel the cares of the day disappear as you relax in the soothing spa and sauna or plan a fun-filled afternoon in the exclusive resident clubhouse. No matter what way you choose to spend your day, you can be sure it will be a perfect, here at Countrywood Apartment Homes! Please call for an appointment today. 
x159 Equal Housing Opportunity
",37.554234,-122.017001,0,ELEGANTLY DESIGNED 1 BEDROOM IN A BEAUTIFULLY LANDSCAPED COMMUNITY,2130
3,24 Union Sq,1,1,"
Here are two videos that can give you a virtual tour:
- Walk through the Community: https://youtu.be/C_D3A5ykChc
- Walk through the Apartment: https://youtu.be/TdiX6SDta_I
Apartment Highlight
- Ideal places for you to explore the Bay Area - 10 min to Fremont, 30 min to San Jose or Berkeley and 45 minutes to San Francisco
- 2 minutes walk to Union City Bart station
- 10 minutes walk to Safeway, Maria Food (Chinese Supermarket), Bharat Bazar (Indian Supermarket)
- Access to 20+ restaurant within 20 minutes walking distance
- Spacious living room and large room. Perfect if you live with your family.
- Extremely safe neighborhood. You can take a walk safely even after 10 pm. 
- Free parking
- Free access to gym and swimming pool
- Free maintenance service 
- In-unit laundry (washing + drying)
The monthly rent is $2,150. Required one month rent to secure the room but will return most of the deposit when you move in. The lease ends at July 28, 2016.
I love this apartment so much. I am subleasing this place because I am relocated because of work. I think you would like this place!
",37.586396,-122.017618,933,1B1B Avalon Luxury Apartment (7 min to Fremont via Bart),2150
4,0 0,0,5,"
SHOWINGS FOR THIS HOME ARE BY APPOINTMENT ONLY.
LIMITED APPOINTMENT TIMES ARE AVAILABLE.
Please call or text
to request an appointment.
COMMUNITY:
www.edenshoreshoa.org
There is no community like this in all of San Francisco / Bay Area! 
- Convenient access to freeway 880 and 92 Bridge (San Mateo Bridge), Dumbarton Bridge, BART and bus lines
- Community amenities includes an amazing pool, basketball and tennis courts, three playgrounds, clubhouse, open running trails, and soccer field. 
- Bus (AC Transit) from and to San Francisco from community
- Free community events for residents
- Home has a wonderful layout and aesthetics
This luxury home is located in the desirable Eden Shores community of Hayward/Union City. The distinctive floor plan has 5 bedrooms (1 bedroom downstairs), 4.5 bath rooms, 2-car garage, soaring ceiling entry, 9 feet ceilings, formal dining and living room, spacious family room with gas fireplace, and bonus room that can be an office or a study. The large kitchen has custom European cabinets, gas cooktop, microwave, dishwasher, refrigerator, and breakfast bar. The master suite includes a luxurious private bath with two walk-in closets, double sinks & vanities, and separate stall shower. Other amenities include recessed lighting, window coverings, dual-pane windows, central heating, inside laundry room (with washer and dryer), and much more! Private rear yard with room for an organic garden. Walking distance to park, community clubhouse that can be used for parties, basketball courts, tennis courts, swimming pool, playgrounds, running trails, and soccer fields. 
UPPER FLOOR: One master bedroom en-suite bathroom retreat (dual sink vanity and tub, separate shower) with two walk-in closets; laundry room with washer, dryer, and cabinetry; three large-sized bedrooms (one room with a walk in closet and its own full bathroom!); one full bathroom. 
LOWER FLOOR: Bright, spacious & open layout with hardwood floors. One bedroom; one full bathroom with shower/bath; kitchen with appliances and European cabinetry; formal dining and formal living room; family room with gas fireplace; breakfast bar kitchen; an office or study room, and professionally landscaped back yard. 
TWO CAR GARAGE.
LARGE BACKYARD with patio area, professionally landscaped. 
QUALIFICATIONS:
- Good credit report
- Good rental record
- NO smoking or drugs
- 12-month lease required
- 1 month security deposit
- No pets.
- Must submit application, rental references, and paycheck stubs
Close commuting distance to San Francisco, Berkeley, Foster City, San Mateo, Fremont, San Jose, Pleasanton, Dublin, Redwood City, Burlingame, Newark, Oakland -- close to Costco, Walmart, Target, Whole Foods, Trader Joes, Ranch 99, Luckies groceries and amenities, theater and cinema, shopping center, restaurants & bars and night life.
",37.608019,-122.094594,3179,5 bedrooms/4.5 bathrooms - Home in Amazing Community,795
5,0 0,0,1,"
Only 3 blocks from UC Berkeley campus
Looking for someone ASAP to take the room if interested
Send me an email:
",37.6247,-122.429,0,UC Berkeley Housing ($650,650
6,3452 La Mesa Dr,0,4,"
Single family house with about 2,400 sq. ft. is located about one mile above the CSUEB campus.
First floor has a large family room with adjoining small kitchen, large living room with adjoining small dining section, and a half bath. Hardwood flooring is installed in these rooms except for the bath and entry-tiled.
Second floor has four bedrooms and two baths. Carpeting is on all rooms and hallway. Bathrooms have tile flooring. Unobstructed view of the bay is available from the master and one bedroom.
The hardwood, carpets, kitchen cabinets and counter tops, and two bathroom vanities are less than one year old. So no pets are allowed-sorry. 
I do not accept Sec. 8 tenants.
The house is available for March or sooner. I prefer appointment by email contact if you are serious. 
The house is vacant so you may see the property from the outside.
The title shows (berkeley)-please disregard-Craigslist's entry.
",37.654182,-122.032292,2400,Hayward Highland House,800
7,"16040 Mateo, Unit A",0,2,"
AVAILABLE MARCH 15, 2016....
*****Accepting applications now by email ONLY...Please do not leave phone messages. ***** 
Please email with information on who will be residing in the unit and if you have pets, a description of pets including breed, size, age, etc. A photo would be great!
$2,225 mo. Rent - which includes garbage, outdoor water and gardener.
Security Deposit: $1700. No additional pet deposit!! Pets are considered ""family""... :0 
2 bedroom 1 bath Cottage - ""GATED COMMUNITY"" *COZY* GARDEN SETTING *PRIVATE FENCED YARD* Truly a ""MUST SEE"".... Very unique and serene...will go quickly...apply now! 
***PETS WELCOMED! 
*A TOUCH OF COUNTRY IN THE CITY* SURROUNDED BY TREES * VERY PRIVATE, ENCLOSED GATED AND FENCED YARD and includes weekly gardener!! 
16040 Mateo Street, Cottage A, San Leandro (Walking distance to Macy*s BayFair and BayFair BART) and freeway interchange... 
**Must have good credit (650+) and good rental history. 
**Non-smoking please!!
Wanted: Quiet, clean, and considerate tenants. 
$25 credit check for each adult over 18....(cash or PayPal) 
Rent (INCLUDES EXTERIOR WATER (tenants pay for interior water), GARBAGE AND & WEEKLY GARDENER !! 
**GATED COMMUNITY with additional park-like large, shared play area and pet friendly neighbors** Pets ALWAYS Welcomed!! PETS WILL JUST LOVE THE LARGE SHARED YARD in addition to their own private, fenced yard.!! 
**Walking distance to BayFair BART and minutes from San Francisco, Berkeley, Pleasanton and Fremont/Union City... !! 
TRULY UNIQUE AND PRIVATE!! 
Appliances include refrigerator, gas stove and range fan. 
Ceiling fans in all rooms; 
Bathroom with tub and tub enclosure and shower.
Wall-to-wall carpet;
Dual-paned windows with custom 2"" faux wood blinds throughout. 
No garage, but off-street secure parking for tenants and guests, 
Extra-large shared yard (in addition to the private fenced yard) for all complex tenants' use; 
Really charming and cozy....a rare find. 
Please call for more information... 
***PETS ARE ALWAYS WELCOMED!! (Unfortunately, due to insurance underwriting, certain restrictions do apply in multi-unit rentals (i.e. Pit bulls, Rottweilers, Chows, Akitas, Jindos, Staffordshire Terriers and Presa Canarios. ).
There is coin-operated laundry for tenants with energy-efficient washer and dryer; secure, locking mailboxes. It is located walking distance to Macy's BayFair in the Ashland area of San Leandro, off 159th Avenue and close to I-580, I-680 and I-880 freeways, shopping centers, schools, bus transportation, parks, churches and walking distance to Bay Fair BART. 
For more information, please email for website and more information. http://jgt76.tripod.com/id42.html
",37.700196,-122.117889,0,Darling 2-bedroom House w/yard * Gated * Pets Ok!,1112
8,0 0,2,4,"
Renters are facing really difficult times right now with very high rent, crazy security deposits, no pets being accepted and landlords want you to have perfect credit and income 3 times or 4 higher than the rent just to allow you to rent their house and pay it off for them. Then they want to increase the rent every time the lease it up and in many cases ask you to move so they can sell the house or move back into it. 
We can send you all of the program information in writing just by sending a request. it includes all of our licensing information. Most people qualify when they have a 580 or higher credit score and can document your income. We get so many people who worry this is a scam but everything we provide you is verifiable through multiple governmental sources.
I have sold homes from Berkeley to Discovery Bay for 27 years. I have managed special financing programs provided by the State and Federal Government that encourage renters to become home owners by providing financing options that don't require perfect credit and in most cases cost less to get into than a rental these days. The financing is 30 year fixed rate and includes property taxes, and all the insurance. Simply put, people who bought homes 15 years ago are still paying the same payment they had originally and you will have the same payment 15 years after you buy the house. Landlords will obviously not be keeping the rent at the same level.
In addition there are tax benefits that you get as a homeowner that help most people save thousands per year in Income Tax. This is the part where many people start to think this is a scam or baloney in general. To help with that we offer two things. I am going to give you ways to confirm the information. In addition I can send you an e mail that has both detailed breakdowns on the programs as well as an e mail that has the properties available with pictures and details. 
The programs that we utilize are FHA, VA, USDA Guaranteed, we also use CHDAP California Housing Down Payment Assistance Program, and CHFA California Housing Finance Agency. These last two programs are state based and provide almost 100% of the down payment you need for the FHA Loan. USDA and VA don't require any down payment. 
This is just 1 of the homes that are available in San Leandro, Hayward, San Lorenzo and Oakland. THERE IS AN E MAIL LIST AVAILABLE THAT GIVES YOU ALL THE DETAILS OF THE PROGRAM AND THE INSTRUCTIONS TO GET QUALIFIED AS WELL AS PICTURES AND DETAILS OF ALL THE HOUSES. PLEASE TEXT OR E MAIL THE REQUEST WITH YOUR E MAIL ADDRESS SO I CAN SEND THESE TO YOU.
This home in San Leandro is 4 bedrooms 2 bathrooms and 1750 square feet. It has a 1 car attached garage and this is all on a lot that is almost 4,000 square feet. 
There are 50 homes available from $2175-$3400 and the homes are 760-2200 square feet with 1-5 bedrooms. There are also Condominiums and Townhomes that have payments ranging from $1625-$2720 per month with 1-4 bedrooms and 680-1700 square feet. These properties will have a separate Home Owners Association due per month of $200-$430 per month. 
The cost to move into one of the homes will typically be $3,000-$5,000. Your first payment will not be due until 30 days after you move in.
To qualify you must have at least
1. A credit score of 580 or higher (credit karma is a place to check if you aren't sure of your credit score)
2. You will need to prove your income with the last 30 days paystubs and the last 2 years tax returns
3. No Bankruptcy in the last 2 years
4. No Short Sale, or Foreclosure in the last 3 years.
Licensed by the California Department of Real Estate Eric Wexelman
I can respond fastest to texts and e mails as I can't answer calls when I am with my other clients.
",37.7024,-122.124,1750,OWN SAN LEANDRO HOME INSTEAD OF RENTING SPECIAL GOVERNMENT FINANCING,775
9,0 0,2,4,"
Remodeled Single House in San Leandro, CA 94577. Ready to move in on 03/01/16. 
The house features: 
* 4 Bedrooms/2 Full Baths/Open Kitchen with eating area/Living Room/Dining Room. 
* Hardwood floor. 
* Front yard, back yard and car garage.
* Closed to HWY880/580, Bart, Shopping, Schools, Restaurants, Boys & Girls club, New Kaiser.
* NON-SMOKING/ NON-PET Property.
$2850.00 Monthly rent 
$4000.00 Deposit 
$30/adult -Processing Fee, including credit check.
For family who like a nice long term comfortable home conveniently located between San Francisco, Oakland, San Jose & Dublin. Furniture not included. 
***Prefer voice message along with your name, contact phone number and detail messages at 925--386-6O38.
",37.7205,-122.1587,1460,*SanLeando Marina/Downtown/Bart/HWY880/580 & Kaiser,712
