address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs
0 0,1,1,37.486931,-121.92775,680,2000,32.191,3.725,5,0
0 0,0,5,37.608019,-122.094594,3179,795,20.329,3.975,1,1
0 0,0,1,37.6247,-122.429,0,650,19.425,3.65,1,2
0 0,2,4,37.7024,-122.124,1750,775,13.855,3.9,0,1
0 0,2,4,37.7205,-122.1587,1460,712,11.821,3.5,4,0
0 0,3,5,37.7706,-122.2648,3400,1720,7.007,3.875,3,2
0 0,1,2,37.811276,-122.251396,1500,625,4.218,4.05,2,0
0 0,1,1,37.822124,-122.288089,965,2495,3.786,4.1,2,1
0 0,0,1,37.8321,-121.9167,0,1650,18.947,3.5,2,1
0 0,0,3,37.8361,-122.2637,0,831,2.494,4.125,0,0
0 0,0,2,37.84585,-122.262039,0,900,1.816,4,2,1
0 0,1,3,37.848561,-122.164813,1500,1658,5.425,3.775,2,0
0 0,1,3,37.849002,-122.260494,1350,1400,1.594,4.025,2,2
0 0,1,3,37.85156,-122.274721,1400,1120,1.644,4,3,0
0 0,0,2,37.851908,-122.275,0,1550,1.631,3.975,4,0
0 0,0,1,37.852408,-122.260022,0,1699,1.359,4,2,1
0 0,1,1,37.854526,-122.27048,500,1600,1.354,4.05,4,0
0 0,0,1,37.855864,-122.277167,0,1750,1.48,4.05,3,1
0 0,1,1,37.855881,-122.254486,1200,1500,1.152,4,2,0
0 0,1,1,37.858126,-122.240379,400,1675,1.421,4.025,1,1
0 0,0,1,37.861054,-122.291559,0,1800,1.913,4.075,5,1
0 0,0,1,37.861959,-122.255988,0,1750,0.725,4,1,0
0 0,0,1,37.863,-122.2749,0,2680,1.052,4.025,3,2
0 0,1,1,37.863911,-122.272253,500,1800,0.899,4.05,1,2
0 0,0,1,37.864012,-122.273369,0,2200,0.943,4.025,2,2
0 0,0,1,37.864173,-122.256417,0,850,0.572,4.025,0,0
0 0,0,1,37.86425,-122.264593,0,1990,0.61,4.05,1,1
0 0,0,1,37.864626,-122.26348,0,1990,0.56,4.025,1,1
0 0,0,1,37.867096,-122.249594,0,2250,0.641,4.1,0,0
0 0,1,1,37.86718,-122.278218,250,900,1.08,3.975,4,1
0 0,1,1,37.86994,-122.28518,508,2723,1.414,3.95,5,2
0 0,2,2,37.875091,-122.268412,900,1750,0.53,4.15,5,0
0 0,1,2,37.877021,-122.301865,800,975,2.342,4.025,3,1
0 0,1,2,37.8787,-122.1728,1000,1497,4.76,4.1,6,0
0 0,0,4,37.881757,-122.275171,0,1125,1.086,4,6,1
0 0,0,1,37.882441,-122.282424,0,2395,1.443,4.05,5,0
0 0,0,1,37.884169,-122.262383,0,1500,0.847,4,2,0
0 0,0,3,37.886125,-122.26718,0,1665,1.055,4.125,1,0
0 0,1,2,37.89,-122.2954,800,1375,2.32,3.95,3,0
0 0,0,1,37.8918,-122.2604,0,2700,1.359,4.05,1,0
0 0,3,3,37.894473,-122.20052,3009,1966,3.573,4.025,2,0
0 0,3,4,37.8989,-121.6054,2350,687,35.8,4.025,2,1
0 0,1,1,37.899225,-122.26558,650,2000,1.9,4.075,3,1
0 0,0,1,37.901424,-122.306478,0,1700,3.27,4.05,3,1
0 0,1,2,37.908992,-122.344093,869,1125,5.279,4.15,4,0
0 0,1,1,37.94,-122.362,500,1500,7.302,3.8,1,0
0 0,0,1,37.960622,-122.039273,0,1395,13.491,3.525,0,0
