,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,latitude,longitude,avg_rating,#cafes,#pubs
0,0 0,1,1,37.486931,-121.92775,680,2000,32.191,37.48990515,-121.929339,3.725,5,0
1,4141 Stevenson Blvd,1,1,37.539286,-121.974354,620,1913,27.765,37.5410387,-121.9732633,3.925,0,0
2,4555 Thornton Ave.,0,1,37.554234,-122.017001,0,2130,25.633,37.55434745,-122.0175841,4.05,1,0
3,24 Union Sq,1,1,37.586396,-122.017618,933,2150,23.744,37.5878915,-122.0203706,3.775,1,1
4,0 0,0,5,37.608019,-122.094594,3179,795,20.329,37.6137072,-122.0879698,3.975,1,1
5,0 0,0,1,37.6247,-122.429,0,650,19.425,37.62922025,-122.4240822,3.65,1,2
6,3452 La Mesa Dr,0,4,37.654182,-122.032292,2400,800,19.509,37.63899715,-122.053652,3.875,2,0
7,"16040 Mateo, Unit A",0,2,37.700196,-122.117889,0,1112,14.164,37.69767005,-122.1225121,3.975,0,1
8,0 0,2,4,37.7024,-122.124,1750,775,13.855,37.69908675,-122.1267887,3.9,0,1
9,0 0,2,4,37.7205,-122.1587,1460,712,11.821,37.72035185,-122.157,3.5,4,0
10,2031 Shoreline Dr.,0,2,37.757184,-122.257469,0,1247,7.927,37.7608004,-122.2508397,3.9,3,1
11,Willow Street at Franciscan Way,0,1,37.757928,-122.25618,700,2125,7.877,37.7608004,-122.2508397,3.9,3,1
12,2242 San Jose Ave.,2,3,37.761571,-122.24818,1050,1733,7.648,37.76217468,-122.2481403,3.975,2,0
13,College Ave.,0,2,37.7641,-122.1633,0,1600,9.12,37.7607648,-122.1680716,4.075,4,1
14,901 Shorepoint Court,1,1,37.764228,-122.27228,700,2145,7.473,37.7691994,-122.2729134,3.875,3,1
15,5918 Bromley Ave,2,4,37.766737,-122.196381,1700,625,8.045,37.7680595,-122.1961163,4.25,1,0
16,0 0,3,5,37.7706,-122.2648,3400,1720,7.007,37.7691994,-122.2657184,3.875,3,2
17,500 Canyon Oaks Dr.,0,2,37.772155,-122.148661,0,1375,9.18,37.77227405,-122.1616193,4.075,5,0
18,615 Canyon Oaks Drive,2,2,37.773196,-122.145704,1125,1500,9.234,37.77227405,-122.1609717,4.025,5,0
19,Santa Clara Ave at 8th Street,1,1,37.773428,-122.27328,700,2000,6.847,37.77499605,-122.2752168,3.75,3,1
20,Paru St at Buena Vista Ave,3,4,37.776583,-122.254894,2500,1223,6.593,37.7776181,-122.2545682,4.05,3,1
21,Paru St at Clement Ave,3,4,37.776855,-122.254786,2456,1223,6.574,37.7776181,-122.2545682,4.05,3,1
22,1100 Pacific Marina Street,1,2,37.782282,-122.264571,1042,2140,6.201,37.7838315,-122.2662853,4.025,1,0
23,1100 Pacific Marina,1,2,37.782316,-122.264743,1042,2140,6.199,37.7838315,-122.2662853,4.025,1,0
24,1100 Pacific Marina,1,1,37.782383,-122.264442,700,3020,6.194,37.7839677,-122.2662853,4.05,1,1
25,1100 Pacific Marina,1,2,37.782417,-122.264528,866,1617,6.192,37.7839677,-122.2662853,4.075,1,1
26,Park Street,1,2,37.7878,-122.1884,950,1500,6.994,37.78740315,-122.1933467,3.775,2,0
27,4436 Hyacinth Avenue,1,2,37.789387,-122.187002,1300,1737,6.947,37.79028751,-122.1902138,3.675,2,0
28,2108 E 23rd St,2,2,37.791466,-122.23257,1400,1675,5.753,37.79208445,-122.2325084,4.15,1,0
29,Brown Ave at Wisconsin,0,1,37.79405,-122.19449,0,1600,6.451,37.79241265,-122.1999064,3.875,3,0
30,1810 E 25th st at wallace st,0,1,37.795157,-122.234242,0,1495,5.483,37.79254815,-122.2347012,4.2,3,0
31,1738 4th Ave,0,1,37.799198,-122.25217,0,1725,5.044,37.79936265,-122.2526285,4.1,6,0
32,1054 Ellbert street,1,2,37.8011,-122.2104,1300,1800,5.584,37.8025134,-122.2109522,4.025,4,1
33,2275 Park Blvd,0,1,37.801477,-122.245779,0,1795,4.928,37.802434,-122.2483295,4.025,5,0
34,2275 Park Blvd,0,1,37.801721,-122.245529,0,1795,4.914,37.802434,-122.2483295,4.025,5,0
35,585 9th St. at Clay,2,2,37.801884,-122.276416,993,1725,4.931,37.80175962,-122.274013,4.1,2,1
36,Scenic Ave at Lincoln Ave,0,2,37.801985,-122.211249,0,1500,5.509,37.80452564,-122.21342,3.925,4,1
37,585 9th St. at Clay St.,1,1,37.801994,-122.276394,966,3000,4.923,37.80175962,-122.274013,4.1,2,1
38,Martin Luther King Jr. Way at 8th Street,0,3,37.802274,-122.278154,950,1033,4.923,37.80151496,-122.2753946,4.1,2,1
39,830 East 28th Street at Park Blvd,0,2,37.802537,-122.237555,0,1450,4.945,37.803613,-122.2410471,4.05,4,0
40,1 Lakeside drive,1,1,37.804037,-122.261117,675,2600,4.695,37.8044355,-122.2624475,4.225,3,0
41,1 lakeside drive,2,2,37.804227,-122.26178,1190,2050,4.683,37.8038691,-122.2630732,4.275,3,0
42,808 12th street Unit 3 at West,1,2,37.806768,-122.28077,900,1147,4.654,37.8049056,-122.2755287,4.125,2,1
43,585 9 street,1,1,37.8071,-122.2851,780,2600,4.697,37.80815638,-122.2833214,4.175,2,0
44,1022 magnolia,0,3,37.807754,-122.288438,0,1166,4.713,37.80844165,-122.2867869,4.125,2,1
45,Dolores at Park Bl,1,1,37.808156,-122.217665,550,2100,4.968,37.80609909,-122.2172791,3.775,2,1
46,2355 Broadway,1,1,37.8085,-122.2668,881,2850,4.405,37.80866135,-122.2683015,4.125,1,0
47,250 Grand Ave.,0,1,37.809835,-122.259142,0,2350,4.295,37.8113254,-122.2592345,4.15,1,0
48,Park View Terrace at Grand Ave.,1,1,37.809987,-122.258906,900,2650,4.284,37.8113254,-122.2592345,4.15,1,0
49,431 Lee street,0,1,37.810343,-122.256866,0,2150,4.262,37.81253675,-122.2565367,4.125,1,0
50,1677 11th Street,0,1,37.810463,-122.298008,770,1350,4.745,37.8098429,-122.2900848,4.125,2,2
51,307 Lee Street,0,1,37.811174,-122.256525,0,2250,4.205,37.81253675,-122.2566814,4.125,1,0
52,0 0,1,2,37.811276,-122.251396,1500,625,4.218,37.8114561,-122.250585,4.05,2,0
53,306 LEE STREET,1,1,37.811361,-122.255988,700,2495,4.194,37.8126827,-122.2560146,4.125,1,0
54,306 LEE STREET,1,1,37.811362,-122.257128,700,2495,4.191,37.81253675,-122.2569485,4.125,1,0
55,365 Perkins Street,0,1,37.811389,-122.255375,0,2345,4.193,37.8126827,-122.2560146,4.125,1,0
56,306 LEE STREET,1,1,37.811513,-122.25601,700,2495,4.183,37.8126827,-122.2560146,4.125,1,0
57,100 Grand Ave,1,1,37.811527,-122.26618,724,3215,4.194,37.81158985,-122.2646277,4.1,2,0
58,365 Perkins Street,0,1,37.811835,-122.255516,0,2345,4.162,37.8126827,-122.2560146,4.125,1,0
