,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room
0,0 0,1,1,37.486931,-121.92775,680,2000
1,4141 Stevenson Blvd,1,1,37.539286,-121.974354,620,1913
2,4555 Thornton Ave.,0,1,37.554234,-122.017001,0,2130
3,24 Union Sq,1,1,37.586396,-122.017618,933,2150
4,0 0,0,5,37.608019,-122.094594,3179,795
5,0 0,0,1,37.6247,-122.429,0,650
6,3452 La Mesa Dr,0,4,37.654182,-122.032292,2400,800
7,"16040 Mateo, Unit A",0,2,37.700196,-122.117889,0,1112
8,0 0,2,4,37.7024,-122.124,1750,775
9,0 0,2,4,37.7205,-122.1587,1460,712
10,2031 Shoreline Dr.,0,2,37.757184,-122.257469,0,1247
11,Willow Street at Franciscan Way,0,1,37.757928,-122.25618,700,2125
12,2242 San Jose Ave.,2,3,37.761571,-122.24818,1050,1733
13,College Ave.,0,2,37.7641,-122.1633,0,1600
14,901 Shorepoint Court,1,1,37.764228,-122.27228,700,2145
15,5918 Bromley Ave,2,4,37.766737,-122.196381,1700,625
16,0 0,3,5,37.7706,-122.2648,3400,1720
17,500 Canyon Oaks Dr.,0,2,37.772155,-122.148661,0,1375
18,615 Canyon Oaks Drive,2,2,37.773196,-122.145704,1125,1500
19,Santa Clara Ave at 8th Street,1,1,37.773428,-122.27328,700,2000
20,Paru St at Buena Vista Ave,3,4,37.776583,-122.254894,2500,1223
21,Paru St at Clement Ave,3,4,37.776855,-122.254786,2456,1223
22,1100 Pacific Marina Street,1,2,37.782282,-122.264571,1042,2140
23,1100 Pacific Marina,1,2,37.782316,-122.264743,1042,2140
24,1100 Pacific Marina,1,1,37.782383,-122.264442,700,3020
25,1100 Pacific Marina,1,2,37.782417,-122.264528,866,1617
26,Park Street,1,2,37.7878,-122.1884,950,1500
27,4436 Hyacinth Avenue,1,2,37.789387,-122.187002,1300,1737
28,2108 E 23rd St,2,2,37.791466,-122.23257,1400,1675
29,Brown Ave at Wisconsin,0,1,37.79405,-122.19449,0,1600
30,1810 E 25th st at wallace st,0,1,37.795157,-122.234242,0,1495
31,1738 4th Ave,0,1,37.799198,-122.25217,0,1725
32,1054 Ellbert street,1,2,37.8011,-122.2104,1300,1800
33,2275 Park Blvd,0,1,37.801477,-122.245779,0,1795
34,2275 Park Blvd,0,1,37.801721,-122.245529,0,1795
35,585 9th St. at Clay,2,2,37.801884,-122.276416,993,1725
36,Scenic Ave at Lincoln Ave,0,2,37.801985,-122.211249,0,1500
37,585 9th St. at Clay St.,1,1,37.801994,-122.276394,966,3000
38,Martin Luther King Jr. Way at 8th Street,0,3,37.802274,-122.278154,950,1033
39,830 East 28th Street at Park Blvd,0,2,37.802537,-122.237555,0,1450
40,1 Lakeside drive,1,1,37.804037,-122.261117,675,2600
41,1 lakeside drive,2,2,37.804227,-122.26178,1190,2050
42,808 12th street Unit 3 at West,1,2,37.806768,-122.28077,900,1147
43,585 9 street,1,1,37.8071,-122.2851,780,2600
44,1022 magnolia,0,3,37.807754,-122.288438,0,1166
45,Dolores at Park Bl,1,1,37.808156,-122.217665,550,2100
46,2355 Broadway,1,1,37.8085,-122.2668,881,2850
47,250 Grand Ave.,0,1,37.809835,-122.259142,0,2350
48,Park View Terrace at Grand Ave.,1,1,37.809987,-122.258906,900,2650
49,431 Lee street,0,1,37.810343,-122.256866,0,2150
50,1677 11th Street,0,1,37.810463,-122.298008,770,1350
