price per room,distance
100,3.771
186,1.973
406,0.336
528,0.509
589,1.389
611,0.682
611,0.681
646,0.47
665,0.419
670,1.996
675,1.357
675,1.363
688,0.307
700,1.81
700,1.304
715,0.496
740,1.981
743,0.525
744,0.492
748,0.658
750,2.375
750,1.774
787,0.755
800,0.462
800,1.273
816,2.345
825,2.797
827,0.538
831,2.494
831,0.571
837,0.959
850,0.572
850,1.301
850,0.323
860,0.79
863,1.702
863,1.546
863,0.835
863,0.575
869,0.659
870,0.597
875,1.615
875,1.551
878,0.788
888,1.559
888,0.691
893,1.758
893,0.408
894,1.43
897,0.887
900,1.816
900,1.08
900,1.743
900,3.203
903,1.215
914,1.964
914,1.36
930,0.412
933,2.574
939,1.933
941,0.531
944,1.218
950,0.945
950,0.346
950,1.105
950,1.099
950,1.1
950,1.629
950,0.343
950,1.892
950,3.137
954,2.007
964,0.51
965,0.71
966,1.905
967,0.487
971,0.503
975,2.342
975,1.695
975,0.53
975,1.142
980,0.538
987,2.084
990,0.606
995,0.501
995,0.698
998,2.362
998,0.721
1000,2.038
1000,1.291
1000,0.725
1000,0.724
1000,0.532
1000,0.448
1000,1.8
1000,1.22
1000,1.817
1005,1.681
1008,0.474
1010,1.636
1012,1.898
1013,1.389
1015,1.457
1015,0.58
1015,1.861
1015,1.948
1015,1.037
1016,0.982
1023,0.466
1025,0.703
1030,1.195
1031,1.698
1040,1.707
1040,0.508
1045,1.67
1047,1.919
1050,1.022
1050,2.243
1050,1.488
1050,1.982
1050,2.134
1050,0.754
1050,1.553
1065,0.754
1066,1.281
1080,0.566
1081,1.849
1083,0.588
1093,1.768
1094,1.053
1095,1.261
1097,2.161
1098,0.831
1100,2.176
1100,1.664
1100,0.761
1100,0.603
1100,0.726
1100,0.669
1100,1.91
1100,3.531
1100,0.502
1105,1.858
1107,0.607
1107,0.598
1115,0.59
1117,2.119
1117,1.629
1117,1.635
1117,1.727
1117,2.036
1118,0.514
1118,0.501
1120,1.644
1125,1.086
1125,2.438
1125,3.073
1125,1.731
1126,0.396
1137,2.197
1138,0.588
1139,0.449
1147,3.845
1150,1.973
1150,0.716
1150,0.723
1150,1.58
1150,1.201
1150,0.711
1150,0.853
1150,1.756
1150,0.641
1150,2.418
1150,3.465
1150,1.134
1150,0.854
1153,0.541
1165,2.363
1165,0.712
1165,0.482
1165,0.888
1166,1.126
1167,1.356
1167,0.561
1169,1.854
1172,3.865
1175,1.131
1175,3.177
1175,1.682
1175,1.681
1187,1.201
1187,0.568
1187,1.177
1189,0.87
1189,0.369
1193,0.935
1193,0.944
1194,0.471
1197,1.849
1197,1.843
1197,0.574
1197,1.607
1198,2.313
1198,0.937
1198,1.349
1198,0.838
1199,2.226
1199,2.38
1199,1.688
1200,2.007
1200,3.695
1200,1.255
1200,1.116
1200,1.436
1200,0.999
1200,1.93
1200,0.704
1200,1.97
1200,1.961
1200,0.404
1200,1.062
1200,2.011
1200,0.673
1200,1.133
1200,1.105
