address,price,movein_t,movein_d,bedrooms
2171 Allston Way,1421.0,1403679600.0,2014-06-25,0
2171 Allston Way,1421.0,1405839600.0,2014-07-20,0
2171 Allston Way,1472.0,1404198000.0,2014-07-01,0
2171 Allston Way,837.0,1405062000.0,2014-07-11,0
2171 Allston Way,761.0,1401606000.0,2014-06-01,0
2171 Allston Way,660.0,1391241600.0,2014-02-01,0
2171 Allston Way,837.0,1401606000.0,2014-06-01,0
2171 Allston Way,1167.0,1395298800.0,2014-03-20,0
2171 Allston Way,985.0,1403247600.0,2014-06-20,0
2171 Allston Way,1218.0,1404198000.0,2014-07-01,0
2171 Allston Way,1218.0,1401606000.0,2014-06-01,0
2171 Allston Way,1370.0,1404198000.0,2014-07-01,0
2171 Allston Way,1269.0,1408086000.0,2014-08-15,0
1907 Center St,1295.0,1404543600.0,2014-07-05,0
1907 Center St,1295.0,1404802800.0,2014-07-08,0
1907 Center St,1375.0,1406876400.0,2014-08-01,0
1907 Center St,1325.0,1396335600.0,2014-04-01,0
1907 Center St,1500.0,1417420800.0,2014-12-01,0
1907 Center St,1450.0,1426143600.0,2015-03-12,0
1912 Addison St,925.0,1430809200.0,2015-05-05,1
1912 Addison St,875.0,1428217200.0,2015-04-05,1
1912 Addison St,1150.0,1439622000.0,2015-08-15,1
1912 Addison St,1150.0,1439190000.0,2015-08-10,1
1915 Addison St,1300.0,1416816000.0,2014-11-24,0
1915 Addison St,1269.0,1398927600.0,2014-05-01,0
1915 Addison St,1450.0,1437202800.0,2015-07-18,0
1915 Addison St,1450.0,1435734000.0,2015-07-01,0
1915 Addison St,1500.0,1440831600.0,2015-08-29,0
2109 Shattuck Ave,1395.0,1421308800.0,2015-01-15,0
2109 Shattuck Ave,812.0,1405407600.0,2014-07-15,0
2109 Shattuck Ave,1619.0,1407740400.0,2014-08-11,0
2109 Shattuck Ave,1595.0,1438412400.0,2015-08-01,0
2109 Shattuck Ave,1416.0,1417420800.0,2014-12-01,1
2109 Shattuck Ave,1370.0,1388822400.0,2014-01-04,1
2109 Shattuck Ave,1450.0,1420704000.0,2015-01-08,1
2109 Shattuck Ave,1417.0,1405407600.0,2014-07-15,1
2109 Shattuck Ave,1517.0,1400137200.0,2014-05-15,1
2109 Shattuck Ave,1495.0,1434351600.0,2015-06-15,1
2109 Shattuck Ave,1795.0,1431673200.0,2015-05-15,1
2109 Shattuck Ave,1695.0,1433142000.0,2015-06-01,1
2109 Shattuck Ave,1595.0,1437375600.0,2015-07-20,1
2109 Shattuck Ave,1750.0,1438412400.0,2015-08-01,1
2109 Shattuck Ave,1750.0,1439622000.0,2015-08-15,1
2109 Shattuck Ave,1795.0,1439622000.0,2015-08-15,1
2109 Shattuck Ave,1995.0,1452844800.0,2016-01-15,1
2109 Shattuck Ave,1895.0,1440054000.0,2015-08-20,1
2109 Shattuck Ave,1995.0,1436943600.0,2015-07-15,2
2112 Addison St,1250.0,1435734000.0,2015-07-01,0
2112 Addison St,1100.0,1435734000.0,2015-07-01,0
2112 Addison St,1475.0,1436943600.0,2015-07-15,0
2112 Addison St,1280.0,1438326000.0,2015-07-31,0
2112 Addison St,1410.0,1433142000.0,2015-06-01,1
1904 University Ave,1675.0,1441090800.0,2015-09-01,1
1904 University Ave,1619.0,1412146800.0,2014-10-01,1
1904 University Ave,2200.0,1435906800.0,2015-07-03,2
1904 University Ave,1795.0,1440486000.0,2015-08-25,1
2018 University Ave,1385.0,1413010800.0,2014-10-11,0
2018 University Ave,1213.0,1399100400.0,2014-05-03,0
2018 University Ave,1517.0,1418371200.0,2014-12-12,0
2018 University Ave,1450.0,1423987200.0,2015-02-15,0
2018 University Ave,1995.0,1441090800.0,2015-09-01,0
2018 University Ave,1895.0,1441090800.0,2015-09-01,0
2008 Shattuck Ave,761.0,1418803200.0,2014-12-17,0
2008 Shattuck Ave,750.0,1421740800.0,2015-01-20,0
2008 Shattuck Ave,800.0,1430204400.0,2015-04-28,0
2008 Shattuck Ave,800.0,1423296000.0,2015-02-07,0
2008 Shattuck Ave,812.0,1419494400.0,2014-12-25,0
2008 Shattuck Ave,800.0,1420704000.0,2015-01-08,0
2008 Shattuck Ave,900.0,1438412400.0,2015-08-01,0
2008 Shattuck Ave,812.0,1400310000.0,2014-05-17,0
2008 Shattuck Ave,975.0,1427439600.0,2015-03-27,0
2008 Shattuck Ave,950.0,1449648000.0,2015-12-09,0
2008 Shattuck Ave,1200.0,1444633200.0,2015-10-12,0
