address,avg_ppr
2171 Allston Way,1125.8461538461538
1907 Center St,1373.3333333333333
1912 Addison St,1025.0
1915 Addison St,1393.8
2109 Shattuck Ave,1544.921052631579
2112 Addison St,1303.0
1904 University Ave,1547.25
2018 University Ave,1575.8333333333333
2008 Shattuck Ave,943.75
2070 University Ave,1296.2142857142858
1949 Milvia St,1624.0
1945 Milvia St,1010.8
2008 Berkeley Way,1083.0
2057 University Ave,979.88
1945 Berkeley Way,1450.8333333333333
1913 Berkeley Way,1850.0
1912 Milvia St,1450.8333333333333
2017 Berkeley Way,1117.0625
1836 Hearst Ave,974.75
2005 Berkeley Way,1279.0
1906 Bonita Ave,2487.0
1937 Haste St,878.0
2223 Dwight Way,1647.5
2247 Dwight Way,1600.0
2420 Milvia St,2275.0
2001 Haste St,1700.0
2007 Haste St,1283.75
2011 Haste St,1636.2142857142858
2021 Haste St,1695.0
2033 Haste St,1506.3620689655172
2425 Fulton St,1332.142857142857
2231 Dwight Way,1453.0
2491 Ellsworth St,1799.9705882352941
2321 Dwight Way,1444.7222222222222
2329 Dwight Way,1750.0
2333 Dwight Way,1395.0
1914 Channing Way,1765.6666666666667
1918 Channing Way,1053.75
1938 Channing Way,1092.8333333333335
2015 Haste St,1630.8125
2206 Haste St,1332.142857142857
2210 Haste St,830.5
2214 Haste St,1362.0
2218 Haste St,1536.4615384615386
2222 Haste St,2200.0
2230 Haste St,1509.0208333333333
2232 Haste St,1579.4791666666667
2431 Ellsworth St,1398.0833333333333
2315 Dwight Way,527.7096774193549
2335 Dwight Way,1433.9411764705883
2446 Dana St,1375.0
1930 Channing Way,1131.8472222222224
1942 Channing Way,1642.6875
2010 Channing Way,1566.1666666666665
2012 Channing Way,1066.0
2429 Shattuck Ave,1467.0
2115 Haste St,1422.7692307692307
2117 Haste St,1570.7283950617284
2135 Haste St,1397.5
2428 Ellsworth St,1774.4285714285713
2426 Ellsworth St,2030.0
2316 Haste St,527.7096774193549
2320 Haste St,1628.7142857142858
2322 Haste St,1669.7
2330 Haste St,1262.409090909091
1936 Channing Way,1092.8333333333335
2133 Haste St,1397.5
2416 Fulton St,1751.0
2420 Fulton St,1397.5
2015 Channing Way,1497.5
2019 Channing Way,1726.0
2020 Channing Way,948.4
2118 Channing Way,1197.6190476190477
2404 Fulton St,1580.625
2412 Atherton St,975.0
2237 Haste St,951.75
2301 Haste St,1832.0
2309 Haste St,1477.2
2325 McKinley Ave,1588.9
2021 Channing Way,1398.75
2023 Channing Way,1281.5
2035 Channing Way,1299.0833333333333
2150 Channing Way,1321.3541666666667
2405 Fulton St,1300.1904761904764
2412 Ellsworth St,1615.1666666666667
2423 Haste St,631.875
2000 Durant Ave,1422.6944444444443
2129 Channing Way,1928.5
2236 Channing Way,1767.2291666666667
2125 Channing Way,1747.5
2332 Fulton St,827.4
2345 Fulton St,1885.3333333333333
2211 Channing Way,2488.3333333333335
2215 Channing Way,1192.952380952381
2336 Channing Way,1987.4
2017 Durant Ave,868.75
2328 Fulton St,1800.0
2330 Fulton St,1800.0
2219 Channing Way,1100.0
2239 Channing Way,1516.25
2313 Channing Way,896.6666666666666
2400 Dana St,1200.0
2210 Durant Ave,1427.8541666666665
2218 Durant Ave,1007.75
2222 Durant Ave,1023.0
2226 Durant Ave,1256.8823529411766
2230 Durant Ave,1249.1538461538462
2360 Ellsworth St,1608.8333333333333
2341 Ellsworth St,1370.0
2325 Channing Way,1421.7142857142858
2329 Channing Way,1392.95
2333 Channing Way,1740.1190476190477
2025 Durant Ave,1577.6707317073171
2232 Durant Ave,1255.7222222222222
2236 Durant Ave,1356.0
2030 Bancroft Way,990.0
2312 Durant Ave,1294.5
2318 Durant Ave,2166.6666666666665
2235 McKinley Ave,1040.5
2020 Bancroft Way,1577.6707317073171
2241 Durant Ave,1650.1
2233 McKinley Ave,668.3333333333334
2126 Bancroft Way,2071.25
2312 Ellsworth St,1350.2916666666667
2306 Ellsworth St,1430.25
2411 Durant Ave,1867.642857142857
2419 Durant Ave,1700.857142857143
2110 Kittredge St,1626.3333333333333
2138 Kittredge St,1523.0
2231 Shattuck Ave,715.2142857142857
2001 Allston Way,1114.85
2414 Dwight Way,916.4545454545455
2418 Dwight Way,1258.7727272727273
2430 Dwight Way,1294.1363636363637
2517 Telegraph Ave,1269.7222222222222
2515 Regent St,1750.0
2508 Hillegass Ave,1194.462962962963
2520 College Ave,1886.7272727272727
2416 Dwight Way,916.4545454545455
2515 Benvenue Ave,1396.357142857143
2521 College Ave,1605.8461538461538
2518 Etna St,2800.0
2525 Piedmont Ave,1305.857142857143
2439 Dwight Way,1820.0
2449 Dwight Way,1187.6
2532 Dwight Way,971.25
2508 Benvenue Ave,1772.975
2514 College Ave,1250.8333333333333
2519 College Ave,1670.5
2522 Piedmont Ave,1390.625
2516 Piedmont Ave,1842.6666666666667
2521 Piedmont Ave,1578.625
2437 Dwight Way,1820.0
2527 Dwight Way,1300.0
2501 Benvenue Ave,1504.0
2644 Dwight Way,1467.142857142857
2514 Piedmont Ave,1842.6666666666667
2515 Piedmont Ave,1797.4
2513 Telegraph Ave,1344.75
2520 Etna St,1895.0
2510 College Ave,1905.5555555555557
2511 Dwight Way,1300.0
2504 College Ave,1017.0370370370371
2536 Piedmont Crescent,1725.0
2646 Dwight Way,1000.0
2726 Dwight Way,2281.090909090909
2750 Dwight Way,1354.75
2511 Piedmont Ave,1116.5
2513 Piedmont Ave,1116.5
2709 Dwight Way,1313.611111111111
2729 Dwight Way,1348.5263157894738
2737 Dwight Way,2175.0
2741 Dwight Way,1326.95
2435 College Ave,1004.9
2715 Dwight Way,1698.0
2467 Warring St,1581.4615384615386
2903 Dwight Way,1259.5
2435 Haste St,892.8
2708 Haste St,1529.5
2728 Haste St,1159.4347826086957
2442 Piedmont Ave,1319.5666666666666
2461 Warring St,1485.8108108108108
