,Unnamed: 0,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs,edge_distance
0,0,"72, Moss Lane, West Oakland, Oakland, Alameda County, California, 94608, United States of America",1,1,37.822124,-122.288089,965,2495,3.786,4.1,2,1,5.76821658805
1,1,"1, Hacienda Cir; Acacia Drive, Orinda Village, Orinda, Contra Costa County, California, 94563, United States of America",3,3,37.894473,-122.20052,3009,1966,3.573,4.025,2,0,5.33365118272
2,2,"3207, Santa Clara Avenue, El Cerrito, Contra Costa County, California, 94530, United States of America",0,1,37.901424,-122.306478,0,1700,3.27,4.05,3,1,4.89828166266
3,3,"Temescal Post Office - 94609, Shattuck Avenue, Temescal, Oakland, Alameda County, California, 94609, United States of America",0,3,37.8361,-122.2637,0,831,2.494,4.125,0,0,3.65307614413
4,4,"1408, 5th Street, Ocean View, Berkeley, Alameda County, California, 94710, United States of America",1,2,37.877021,-122.301865,800,975,2.342,4.025,3,1,3.20777931333
5,5,"Cornell Elementary School, Cornell Avenue, University Village, Albany, Alameda County, California, 94702, United States of America",1,2,37.89,-122.2954,800,1375,2.32,3.95,3,0,3.32669909188
6,6,"1009, Dwight Way, Poets Corner, Berkeley, Alameda County, California, 94710, United States of America",0,1,37.861054,-122.291559,0,1800,1.913,4.075,5,1,2.49158515509
7,7,"Grizzly Peak Blvd & Keeler Av, Grizzly Peak Boulevard, Cragmont, Berkeley, Alameda County, California, 94708, United States of America",1,1,37.899225,-122.26558,650,2000,1.9,4.075,3,1,2.73353610573
8,8,"5950, Racine Street, Idora Park, Oakland, Alameda County, California, 94609, United States of America",0,2,37.84585,-122.262039,0,900,1.816,4.0,2,1,2.5592756353
9,9,"Prince Street Mini-Park, Prince Street, Harmon Tract, Berkeley, Alameda County, California, 94703, United States of America",1,3,37.85156,-122.274721,1400,1120,1.644,4.0,3,0,2.29000195512
10,10,"Prince Street Mini Park, 1631, Prince Street, Harmon Tract, Berkeley, Alameda County, California, 94703, United States of America",0,2,37.851908,-122.275,0,1550,1.631,3.975,4,0,2.261805057
11,11,"6259, Telegraph Avenue, Idora Park, Oakland, Alameda County, California, 94609, United States of America",1,3,37.849002,-122.260494,1350,1400,1.594,4.025,2,2,2.19912134703
12,12,"2839, California Street, South Berkeley, Berkeley, Alameda County, California, 94703, United States of America",0,1,37.855864,-122.277167,0,1750,1.48,4.05,3,1,1.9424286199
13,13,"Espresso Roma, Hopkins Street, Westbrae, Berkeley, Alameda County, California, 94707, United States of America",0,1,37.882441,-122.282424,0,2395,1.443,4.05,5,0,1.91431888378
14,14,"58, Alvarado Road, Claremont, Berkeley, Alameda County, California, 94705, United States of America",1,1,37.858126,-122.240379,400,1675,1.421,4.025,1,1,2.02534486058
15,15,"Shu Ren International School, 1333, University Avenue, Poets Corner, Berkeley, Alameda County, California, 94704, United States of America",1,1,37.86994,-122.28518,508,2723,1.414,3.95,5,2,1.67643404007
16,16,"Smokehouse, Woolsey Street, Elmwood, Berkeley, Alameda County, California, 94705, United States of America",0,1,37.852408,-122.260022,0,1699,1.359,4.0,2,1,1.81869488841
17,17,"Remillard Park, 80, Poppy Lane, Cragmont, Berkeley, Alameda County, California, 94708, United States of America",0,1,37.8918,-122.2604,0,2700,1.359,4.05,1,0,1.88822027092
18,18,"Shotgun Players Ashby Stage, 1901, Ashby Avenue, Harmon Tract, Berkeley, Alameda County, California, 94703, United States of America",1,1,37.854526,-122.27048,500,1600,1.354,4.05,4,0,1.86986210832
