bedrooms,sqft,price per room,sqft/room
4,3400,1875,850.0
3,3009,1966,1003.0
5,3000,1700,600.0
4,2500,1550,625.0
3,2464,1500,821.3
3,2400,1500,800.0
4,2300,1587,575.0
4,2200,1237,550.0
5,2100,1650,420.0
5,2100,1650,420.0
3,2100,1400,700.0
3,2036,1700,678.7
4,2000,2562,500.0
4,2000,1487,500.0
4,1980,1375,495.0
3,1850,1198,616.7
3,1850,1199,616.7
3,1850,1265,616.7
3,1842,1558,614.0
4,1806,1150,451.5
5,1800,1080,360.0
4,1800,1237,450.0
2,1800,1600,900.0
6,1765,1350,294.2
4,1750,1623,437.5
3,1750,1433,583.3
3,1710,1400,570.0
3,1700,186,566.7
3,1700,1199,566.7
3,1670,1766,556.7
3,1648,1165,549.3
3,1608,1500,536.0
3,1600,1266,533.3
3,1575,1233,525.0
2,1560,2197,780.0
1,1518,3450,1518.0
3,1500,1900,500.0
3,1500,1933,500.0
2,1500,1497,750.0
2,1500,2100,750.0
2,1500,1875,750.0
4,1450,1400,362.5
2,1444,1650,722.0
2,1434,1900,717.0
3,1412,1200,470.7
3,1400,998,466.7
3,1400,1120,466.7
2,1400,2125,700.0
1,1400,5000,1400.0
2,1369,1990,684.5
3,1350,1400,450.0
2,1340,1800,670.0
2,1339,1600,669.5
3,1300,950,433.3
3,1300,1150,433.3
2,1300,1600,650.0
2,1220,1275,610.0
2,1200,900,600.0
2,1200,1775,600.0
2,1200,1422,600.0
2,1200,1750,600.0
2,1200,2250,600.0
1,1200,1500,1200.0
2,1170,1625,585.0
2,1170,1625,585.0
2,1170,1625,585.0
2,1155,1997,577.5
2,1155,1997,577.5
1,1155,3995,1155.0
4,1150,1375,287.5
2,1150,1300,575.0
2,1144,2000,572.0
2,1130,1800,565.0
2,1113,1600,556.5
3,1100,816,366.7
2,1100,1397,550.0
2,1100,1600,550.0
2,1100,2000,550.0
2,1100,1560,550.0
2,1100,1560,550.0
2,1100,1560,550.0
1,1100,2850,1100.0
1,1100,2285,1100.0
2,1090,2250,545.0
2,1068,1500,534.0
2,1050,1750,525.0
2,1050,1700,525.0
1,1050,3375,1050.0
2,1032,1625,516.0
2,1015,1747,507.5
3,1000,933,333.3
3,1000,966,333.3
2,1000,1125,500.0
2,1000,1300,500.0
2,1000,1300,500.0
2,1000,1400,500.0
