bedrooms,bathrooms,sqft,distance_to_campus,num_images,unique_words,postingDate,price
1.0,1.0,nan,0.53125656806074539,9.0,77.0,6.0,1950.0
2.0,1.0,nan,0.63648150414396831,15.0,233.0,15.0,3000.0
2.0,1.0,nan,0.63648150414396831,15.0,233.0,9.0,3000.0
2.0,1.0,684.0,0.16789201420450395,3.0,80.0,5.0,3900.0
2.0,1.0,nan,0.42864655607902419,5.0,278.0,6.0,2795.0
3.0,1.0,nan,1.6766067589478364,5.0,296.0,5.0,1385.0
335.0,nan,nan,0.4933538638419403,10.0,87.0,16.0,1150.0
0.0,1.0,nan,1.4406523499761199,9.0,235.0,34.0,1500.0
1.0,1.0,735.0,2.1897627005550762,20.0,58.0,32.0,3100.0
2.0,1.5,1200.0,1.6561597720215793,16.0,54.0,5.0,2950.0
2.0,1.0,700.0,1.4195129743702222,10.0,173.0,27.0,2350.0
2.0,1.0,900.0,0.56816535164217707,11.0,54.0,5.0,3500.0
3.0,1.0,nan,0.87647481323616971,22.0,292.0,5.0,4000.0
0.0,1.0,550.0,0.4956643100642929,5.0,48.0,19.0,1950.0
1.0,1.0,450.0,0.55219766989068086,6.0,132.0,9.0,1830.0
2.0,1.0,nan,0.63648150414396831,15.0,233.0,4.0,3000.0
2.0,1.0,nan,0.95353387306353332,6.0,161.0,4.0,2250.0
1.0,1.0,730.0,1.1248639772637539,7.0,140.0,4.0,2495.0
2.0,1.0,900.0,0.76066537851234417,11.0,81.0,4.0,2300.0
2.0,1.0,nan,0.29950749133397586,11.0,192.0,14.0,3800.0
1.0,1.0,550.0,0.78054804278825951,6.0,77.0,4.0,1850.0
2.0,1.0,nan,0.74225043513845312,13.0,118.0,3.0,2750.0
1.0,1.0,650.0,1.75116572486011,5.0,66.0,4.0,1675.0
1.0,1.0,787.0,1.8545019838343573,10.0,128.0,15.0,2825.0
2.0,1.0,nan,0.63648150414396831,15.0,233.0,14.0,3000.0
2.0,1.0,nan,0.74225043513845312,13.0,118.0,3.0,2750.0
1.0,1.0,787.0,1.8714834599942023,10.0,62.0,15.0,2925.0
1.0,1.0,868.0,1.8714834599942023,8.0,119.0,19.0,2825.0
1.0,1.0,787.0,1.8714834599942023,10.0,62.0,15.0,2925.0
1.0,1.0,716.0,1.3076085922025702,9.0,136.0,19.0,2825.0
1.0,1.0,868.0,1.8545019838343573,8.0,231.0,19.0,2825.0
5.0,3.0,2500.0,1.4406523499761199,9.0,103.0,4.0,6500.0
1.0,1.0,787.0,1.8714834599942023,8.0,119.0,21.0,2925.0
1.0,1.0,868.0,1.8714834599942023,9.0,233.0,21.0,2825.0
2.0,2.0,1400.0,0.61925725176432267,12.0,435.0,4.0,3450.0
1.0,1.0,787.0,1.8714834599942023,10.0,62.0,15.0,2925.0
1.0,1.0,709.0,1.8545019838343573,11.0,141.0,23.0,2900.0
1.0,1.0,709.0,1.8545019838343573,10.0,75.0,12.0,2900.0
1.0,1.0,709.0,1.8545019838343573,8.0,231.0,29.0,2825.0
nan,nan,nan,0.30936331862300148,4.0,121.0,2.0,1600.0
1.0,1.0,716.0,1.8545019838343573,7.0,139.0,23.0,2825.0
2.0,1.0,675.0,1.6593400840803934,13.0,454.0,6.0,2695.0
2.0,1.0,nan,0.74225043513845312,8.0,166.0,5.0,2750.0
1.0,1.0,nan,0.38976189167205016,5.0,215.0,5.0,2495.0
1.0,1.0,787.0,1.8545019838343573,6.0,156.0,28.0,2825.0
2.0,1.0,nan,0.74225043513845312,9.0,177.0,2.0,2750.0
1.0,1.0,nan,0.29766233949783272,7.0,218.0,2.0,2495.0
2.0,1.0,758.0,0.27563290093086945,5.0,142.0,2.0,3980.0
1.0,1.0,716.0,1.8491192789384141,5.0,166.0,20.0,2825.0
1.0,1.0,709.0,1.8465106236239599,6.0,100.0,20.0,2825.0
1.0,1.0,787.0,1.8465106236239599,7.0,137.0,20.0,2925.0
1.0,1.0,787.0,1.8545019838343573,8.0,231.0,21.0,2875.0
1.0,1.0,787.0,1.8491192789384141,3.0,85.0,20.0,2825.0
2.0,1.0,nan,0.34707599924152144,13.0,727.0,9.0,3800.0
1.0,1.0,868.0,1.8545019838343573,3.0,159.0,20.0,2825.0
2.0,2.0,960.0,0.18907623515451707,5.0,451.0,2.0,4295.0
1.0,1.0,675.0,0.74225043513845312,0.0,209.0,2.0,2975.0
0.0,1.0,nan,0.88421758568733622,8.0,126.0,9.0,2000.0
1.0,1.0,709.0,1.8491192789384141,7.0,212.0,30.0,2825.0
1.0,1.0,670.0,1.8563628687706692,8.0,108.0,2.0,2800.0
2.0,2.0,1155.0,1.8465106236239599,3.0,209.0,2.0,3850.0
0.0,1.0,556.0,0.52041978373444064,13.0,132.0,2.0,2950.0
nan,nan,nan,0.88421758568733622,24.0,26.0,9.0,1895.0
2.0,1.0,650.0,0.62993492373108761,5.0,191.0,2.0,2650.0
1.0,1.0,450.0,1.4406523499761199,6.0,105.0,22.0,1950.0
2.0,1.0,657.0,0.33189513326148623,3.0,13.0,2.0,3342.0
2.0,1.0,958.0,0.52041978373444064,13.0,132.0,2.0,4150.0
0.0,1.0,nan,0.69586971638562922,8.0,62.0,2.0,1750.0
2.0,2.0,nan,2.0108138023247273,24.0,254.0,2.0,3500.0
1.0,1.0,nan,0.84581915320154732,8.0,39.0,2.0,2295.0
0.0,1.0,nan,0.31470264728489894,0.0,91.0,2.0,1750.0
1.0,1.0,735.0,2.1954342142976029,20.0,58.0,21.0,3100.0
2.0,1.0,958.0,0.52041978373444064,13.0,132.0,2.0,4150.0
1.0,1.0,706.0,0.52041978373444064,13.0,13.0,2.0,3275.0
1.0,1.0,672.0,5.1333281828834831,9.0,266.0,5.0,2175.0
1.0,1.0,709.0,1.8491192789384141,0.0,143.0,11.0,2825.0
2.0,1.0,nan,0.84547045081296757,9.0,188.0,34.0,3800.0
1.0,1.0,nan,0.4004172061102837,8.0,122.0,5.0,2095.0
1.0,1.0,nan,0.096666331256356583,15.0,163.0,7.0,2600.0
2.0,1.0,nan,0.74225043513845312,10.0,135.0,5.0,2995.0
0.0,1.0,721.0,2.4161193316090732,0.0,13.0,5.0,2685.0
3.0,1.0,nan,0.18907623515451707,9.0,179.0,35.0,4500.0
1.0,1.0,851.0,2.4161193316090732,0.0,114.0,5.0,2875.0
3.0,1.0,nan,0.18907623515451707,9.0,176.0,34.0,4500.0
2.0,1.0,nan,0.21176533587418117,8.0,200.0,34.0,3800.0
2.0,1.0,nan,0.18907623515451707,8.0,191.0,35.0,3800.0
3.0,1.0,nan,0.84547045081296757,8.0,202.0,34.0,4500.0
2.0,1.0,nan,0.33718591626628808,7.0,202.0,34.0,3800.0
3.0,1.0,nan,0.18907623515451707,10.0,180.0,21.0,4500.0
2.0,1.0,850.0,1.2302346737653935,10.0,162.0,5.0,2650.0
2.0,1.0,nan,0.18907623515451707,9.0,191.0,14.0,3800.0
3.0,1.0,nan,0.18907623515451707,10.0,179.0,11.0,4500.0
3.0,1.0,nan,0.18907623515451707,11.0,179.0,15.0,4500.0
2.0,1.0,nan,0.18907623515451707,10.0,192.0,17.0,3800.0
2.0,1.0,nan,0.33718591626628808,8.0,201.0,21.0,3800.0
3.0,1.0,nan,0.18907623515451707,11.0,176.0,11.0,4500.0
3.0,2.0,1400.0,2.3005790628873108,6.0,104.0,14.0,3189.0
1.0,1.0,700.0,0.42825102392271025,6.0,78.0,5.0,1945.0
2.0,2.0,1018.0,2.8244578840292371,12.0,569.0,1.0,3195.0
1.0,1.0,724.0,4.0219604973811869,11.0,38.0,1.0,3118.0
2.0,1.0,840.0,8.7948136457975199,0.0,321.0,5.0,1895.0
2.0,1.0,nan,6.6944446323601952,6.0,177.0,1.0,1795.0
1.0,1.0,650.0,2.2921302774286323,9.0,238.0,1.0,2325.0
2.0,1.0,nan,1.7522284478645427,10.0,502.0,1.0,3050.0
1.0,1.0,695.0,2.6051569625605486,6.0,13.0,1.0,2395.0
1.0,1.0,1200.0,1.0901737605870696,12.0,104.0,3.0,2850.0
0.0,1.0,nan,0.620426280840221,6.0,49.0,1.0,1875.0
0.0,1.0,nan,0.19954928381981565,0.0,59.0,1.0,700.0
1.0,1.0,787.0,1.8545019838343573,8.0,136.0,23.0,2925.0
2.0,1.5,1025.0,9.9297412776768343,14.0,110.0,4.0,2335.0
2.0,1.0,825.0,9.9297412776768343,8.0,174.0,22.0,2035.0
3.0,2.0,1260.0,2.608382883730529,14.0,13.0,1.0,4545.0
1.0,1.0,868.0,1.8545019838343573,6.0,105.0,23.0,2825.0
1.0,1.0,793.0,2.6069871516651495,14.0,13.0,1.0,2947.0
2.0,1.0,825.0,9.9297412776768343,6.0,173.0,21.0,2035.0
1.0,1.0,709.0,1.8545019838343573,6.0,137.0,23.0,2825.0
1.0,1.0,nan,4.0550749102264838,7.0,465.0,1.0,1300.0
2.0,2.0,nan,5.1578961804592343,0.0,164.0,1.0,1695.0
2.0,1.0,830.0,4.2882557999527622,6.0,139.0,1.0,2100.0
1.0,1.0,787.0,1.8545019838343573,8.0,105.0,23.0,2825.0
2.0,1.0,nan,1.1584347709232308,16.0,110.0,3.0,2750.0
1.0,1.0,787.0,1.8491192789384141,7.0,110.0,1.0,2925.0
2.0,2.0,1170.0,3.056440495494039,10.0,619.0,1.0,3300.0
1.0,1.0,600.0,2.730932597607922,3.0,129.0,19.0,1900.0
1.0,1.0,800.0,2.7851876719080022,6.0,287.0,2.0,2200.0
1.0,1.0,nan,0.38659927053140208,10.0,51.0,14.0,1425.0
1.0,1.0,nan,0.38659927053140208,10.0,51.0,30.0,1575.0
